date,time,symbol,price,variance,slope,trend
2025-03-15,10:39:58.000,BTCUSD,84345.78000,6.228623,0.150903,Bullish
2025-03-15,10:39:58.000,BTCUSD,84346.53000,6.484726,0.163026,Bullish
2025-03-15,10:39:58.000,BTCUSD,84346.19000,5.666152,0.142590,Bullish
2025-03-15,10:39:58.000,BTCUSD,84341.78000,5.360218,0.104065,Bullish
2025-03-15,10:39:59.000,BTCUSD,84341.28000,5.106334,0.060986,Bullish
2025-03-15,10:39:59.000,BTCUSD,84343.78000,4.590742,0.033235,Bullish
2025-03-15,10:39:59.000,BTCUSD,84345.28000,4.219062,0.017299,Bullish
2025-03-15,10:39:59.000,BTCUSD,84344.28000,4.149864,0.007938,Bullish
2025-03-15,10:39:59.000,BTCUSD,84348.53000,4.618032,0.023613,Bullish
2025-03-15,10:39:59.000,BTCUSD,84341.75000,4.854849,0.006679,Bullish
2025-03-15,10:39:59.000,BTCUSD,84343.04000,4.912000,-0.002549,Bearish
2025-03-15,10:39:59.000,BTCUSD,84350.04000,5.107602,0.001177,Bullish
2025-03-15,10:40:00.000,BTCUSD,84350.56000,6.199891,0.034823,Bullish
2025-03-15,10:40:00.000,BTCUSD,84350.50000,7.160373,0.063742,Bullish
2025-03-15,10:40:00.000,BTCUSD,84345.88000,7.016263,0.053826,Bullish
2025-03-15,10:40:00.000,BTCUSD,84346.00000,6.962490,0.048977,Bullish
2025-03-15,10:40:00.000,BTCUSD,84354.67000,9.785166,0.116178,Bullish
2025-03-15,10:40:00.000,BTCUSD,84357.27000,14.087385,0.206756,Bullish
2025-03-15,10:40:00.000,BTCUSD,84356.89500,17.815619,0.295994,Bullish
2025-03-15,10:40:00.000,BTCUSD,84356.64500,21.357061,0.366725,Bullish
2025-03-15,10:40:01.000,BTCUSD,84354.43000,23.267831,0.406912,Bullish
2025-03-15,10:40:01.000,BTCUSD,84359.58000,27.839671,0.461399,Bullish
2025-03-15,10:40:01.000,BTCUSD,84353.19000,28.819520,0.487875,Bullish
2025-03-15,10:40:01.000,BTCUSD,84354.54000,30.052411,0.513350,Bullish
2025-03-15,10:40:01.000,BTCUSD,84359.94000,33.722069,0.556801,Bullish
2025-03-15,10:40:01.000,BTCUSD,84355.79000,34.664698,0.572850,Bullish
