date,time,symbol,price
2025-03-17,18:20:12.000,BTCUSD,83397.85000
2025-03-17,18:20:12.000,BTCUSD,83391.93000
2025-03-17,18:20:12.000,BTCUSD,83391.93000
2025-03-17,18:20:12.000,BTCUSD,83397.60000
2025-03-17,18:20:12.000,BTCUSD,83397.60000
2025-03-17,18:20:12.000,BTCUSD,83397.49000
2025-03-17,18:20:12.000,BTCUSD,83397.49000
2025-03-17,18:20:13.000,BTCUSD,83399.25000
2025-03-17,18:20:13.000,BTCUSD,83399.25000
2025-03-17,18:20:13.000,BTCUSD,83411.58000
2025-03-17,18:20:13.000,BTCUSD,83411.58000
2025-03-17,18:20:13.000,BTCUSD,83412.06000
2025-03-17,18:20:13.000,BTCUSD,83412.06000
2025-03-17,18:20:13.000,BTCUSD,83412.81000
2025-03-17,18:20:13.000,BTCUSD,83412.81000
2025-03-17,18:20:13.000,BTCUSD,83412.94000
2025-03-17,18:20:13.000,BTCUSD,83412.94000
2025-03-17,18:20:13.000,BTCUSD,83407.68000
2025-03-17,18:20:13.000,BTCUSD,83407.68000
2025-03-17,18:20:13.000,BTCUSD,83411.99000
2025-03-17,18:20:13.000,BTCUSD,83411.99000
2025-03-17,18:20:14.000,BTCUSD,83406.04000
2025-03-17,18:20:14.000,BTCUSD,83406.04000
2025-03-17,18:20:14.000,BTCUSD,83406.05000
2025-03-17,18:20:14.000,BTCUSD,83406.05000
2025-03-17,18:20:14.000,BTCUSD,83407.43000
2025-03-17,18:20:14.000,BTCUSD,83407.43000
2025-03-17,18:20:14.000,BTCUSD,83409.67000
2025-03-17,18:20:14.000,BTCUSD,83409.67000
2025-03-17,18:20:15.000,BTCUSD,83412.15000
2025-03-17,18:20:15.000,BTCUSD,83412.15000
2025-03-17,18:20:15.000,BTCUSD,83413.26000
2025-03-17,18:20:15.000,BTCUSD,83413.26000
2025-03-17,18:20:15.000,BTCUSD,83413.80000
2025-03-17,18:20:15.000,BTCUSD,83413.80000
2025-03-17,18:20:15.000,BTCUSD,83412.70000
2025-03-17,18:20:15.000,BTCUSD,83412.70000
2025-03-17,18:20:15.000,BTCUSD,83413.89000
2025-03-17,18:20:15.000,BTCUSD,83413.89000
2025-03-17,18:20:15.000,BTCUSD,83415.14000
2025-03-17,18:20:15.000,BTCUSD,83415.14000
2025-03-17,18:20:15.000,BTCUSD,83411.58000
2025-03-17,18:20:15.000,BTCUSD,83411.58000
2025-03-17,18:20:15.000,BTCUSD,83412.15000
2025-03-17,18:20:15.000,BTCUSD,83412.15000
2025-03-17,18:20:15.000,BTCUSD,83413.26000
2025-03-17,18:20:15.000,BTCUSD,83413.26000
2025-03-17,18:20:15.000,BTCUSD,83413.80000
2025-03-17,18:20:15.000,BTCUSD,83413.80000
2025-03-17,18:20:15.000,BTCUSD,83412.70000
2025-03-17,18:20:15.000,BTCUSD,83412.70000
2025-03-17,18:20:15.000,BTCUSD,83413.89000
2025-03-17,18:20:15.000,BTCUSD,83413.89000
2025-03-17,18:20:15.000,BTCUSD,83415.14000
2025-03-17,18:20:15.000,BTCUSD,83415.14000
2025-03-17,18:20:15.000,BTCUSD,83411.58000
2025-03-17,18:20:15.000,BTCUSD,83411.58000
2025-03-17,18:20:15.000,BTCUSD,83414.52000
2025-03-17,18:20:15.000,BTCUSD,83414.52000
2025-03-17,18:20:15.000,BTCUSD,83417.49000
2025-03-17,18:20:15.000,BTCUSD,83417.49000
2025-03-17,18:20:16.000,BTCUSD,83414.10000
2025-03-17,18:20:16.000,BTCUSD,83414.10000
2025-03-17,18:20:16.000,BTCUSD,83405.56000
2025-03-17,18:20:16.000,BTCUSD,83405.56000
2025-03-17,18:20:16.000,BTCUSD,83405.16000
2025-03-17,18:20:16.000,BTCUSD,83405.16000
2025-03-17,18:20:16.000,BTCUSD,83406.81000
2025-03-17,18:20:16.000,BTCUSD,83406.81000
2025-03-17,18:20:16.000,BTCUSD,83408.41000
2025-03-17,18:20:16.000,BTCUSD,83408.41000
2025-03-17,18:20:16.000,BTCUSD,83408.51000
2025-03-17,18:20:16.000,BTCUSD,83408.51000
2025-03-17,18:20:16.000,BTCUSD,83407.08000
2025-03-17,18:20:16.000,BTCUSD,83407.08000
2025-03-17,18:20:17.000,BTCUSD,83406.90000
2025-03-17,18:20:17.000,BTCUSD,83406.90000
2025-03-17,18:20:17.000,BTCUSD,83405.97000
2025-03-17,18:20:17.000,BTCUSD,83405.97000
2025-03-17,18:20:17.000,BTCUSD,83408.70000
2025-03-17,18:20:17.000,BTCUSD,83408.70000
2025-03-17,18:20:17.000,BTCUSD,83411.21000
2025-03-17,18:20:17.000,BTCUSD,83411.21000
2025-03-17,18:20:17.000,BTCUSD,83411.48000
2025-03-17,18:20:17.000,BTCUSD,83411.48000
2025-03-17,18:20:17.000,BTCUSD,83412.11000
2025-03-17,18:20:17.000,BTCUSD,83412.11000
2025-03-17,18:20:17.000,BTCUSD,83412.88000
2025-03-17,18:20:17.000,BTCUSD,83412.88000
2025-03-17,18:20:18.000,BTCUSD,83412.73000
2025-03-17,18:20:18.000,BTCUSD,83412.73000
2025-03-17,18:20:18.000,BTCUSD,83406.89000
